"","V_out Last (V)","V_out Ave. (V)","V_Ref Last (V)","V_Ref Ave. (V)"
"00:00:00.000","1.505","1.505","-1.993","-1.993"
"00:00:00.010","1.503","1.503","-1.994","-1.994"
"00:00:00.020","1.505","1.505","-1.996","-1.996"
"00:00:00.030","1.505","1.505","-1.986","-1.986"
"00:00:00.040","1.503","1.503","-1.995","-1.995"
"00:00:00.050","1.505","1.505","-1.995","-1.995"
"00:00:00.060","1.505","1.505","-1.994","-1.994"
"00:00:00.070","1.505","1.505","-1.997","-1.997"
"00:00:00.080","1.504","1.504","-1.994","-1.994"
"00:00:00.090","1.504","1.504","-1.995","-1.995"
"00:00:00.100","1.506","1.506","-1.995","-1.995"
"00:00:00.110","1.504","1.504","-1.993","-1.993"
"00:00:00.120","1.504","1.504","-1.999","-1.999"
"00:00:00.130","1.505","1.505","-1.993","-1.993"
"00:00:00.140","1.503","1.503","-1.994","-1.994"
"00:00:00.150","1.506","1.506","-1.993","-1.993"
"00:00:00.160","1.505","1.505","-1.990","-1.990"
"00:00:00.170","1.506","1.506","-1.993","-1.993"
"00:00:00.180","1.501","1.501","-1.990","-1.990"
"00:00:00.190","1.506","1.506","-1.997","-1.997"
"00:00:00.200","1.505","1.505","-1.991","-1.991"
"00:00:00.210","1.505","1.505","-1.987","-1.987"
"00:00:00.220","1.502","1.502","-1.993","-1.993"
"00:00:00.230","1.504","1.504","-1.995","-1.995"
"00:00:00.240","1.505","1.505","-1.995","-1.995"
"00:00:00.250","1.504","1.504","-1.996","-1.996"
"00:00:00.260","1.504","1.504","-1.995","-1.995"
"00:00:00.270","1.502","1.502","-1.995","-1.995"
"00:00:00.280","1.503","1.503","-1.991","-1.991"
"00:00:00.290","1.503","1.503","-1.992","-1.992"
"00:00:00.300","1.503","1.503","-1.994","-1.994"
"00:00:00.310","1.503","1.503","-1.996","-1.996"
"00:00:00.320","1.505","1.505","-1.996","-1.996"
"00:00:00.330","1.505","1.505","-1.995","-1.995"
"00:00:00.340","1.503","1.503","-1.997","-1.997"
"00:00:00.350","1.504","1.504","-1.993","-1.993"
"00:00:00.360","1.504","1.504","-1.997","-1.997"
"00:00:00.370","1.503","1.503","-1.993","-1.993"
"00:00:00.380","1.504","1.504","-1.996","-1.996"
"00:00:00.390","1.504","1.504","-1.992","-1.992"
"00:00:00.400","1.505","1.505","-1.993","-1.993"
"00:00:00.410","1.503","1.503","-1.997","-1.997"
"00:00:00.420","1.504","1.504","-2.000","-2.000"
"00:00:00.430","1.504","1.504","-1.986","-1.986"
