"","V_out Last (V)","V_out Ave. (V)","V_Ref Last (V)","V_Ref Ave. (V)"
"00:00:00.000","1.746","1.746","-1.717","-1.717"
"00:00:00.010","1.745","1.745","-1.718","-1.718"
"00:00:00.020","1.743","1.743","-1.713","-1.713"
"00:00:00.030","1.744","1.744","-1.717","-1.717"
"00:00:00.040","1.744","1.744","-1.719","-1.719"
"00:00:00.050","1.745","1.745","-1.715","-1.715"
"00:00:00.060","1.745","1.745","-1.716","-1.716"
"00:00:00.070","1.744","1.744","-1.721","-1.721"
"00:00:00.080","1.745","1.745","-1.723","-1.723"
"00:00:00.090","1.744","1.744","-1.717","-1.717"
"00:00:00.100","1.745","1.745","-1.719","-1.719"
"00:00:00.110","1.745","1.745","-1.717","-1.717"
"00:00:00.120","1.745","1.745","-1.716","-1.716"
"00:00:00.130","1.744","1.744","-1.715","-1.715"
"00:00:00.140","1.745","1.745","-1.716","-1.716"
"00:00:00.150","1.746","1.746","-1.717","-1.717"
"00:00:00.160","1.744","1.744","-1.720","-1.720"
"00:00:00.170","1.747","1.747","-1.722","-1.722"
"00:00:00.180","1.744","1.744","-1.725","-1.725"
"00:00:00.190","1.744","1.744","-1.722","-1.722"
"00:00:00.200","1.746","1.746","-1.718","-1.718"
"00:00:00.210","1.746","1.746","-1.717","-1.717"
"00:00:00.220","1.745","1.745","-1.719","-1.719"
"00:00:00.230","1.744","1.744","-1.717","-1.717"
"00:00:00.240","1.743","1.743","-1.715","-1.715"
"00:00:00.250","1.742","1.742","-1.715","-1.715"
"00:00:00.260","1.743","1.743","-1.723","-1.723"
"00:00:00.270","1.744","1.744","-1.720","-1.720"
"00:00:00.280","1.744","1.744","-1.716","-1.716"
"00:00:00.290","1.746","1.746","-1.711","-1.711"
"00:00:00.300","1.743","1.743","-1.718","-1.718"
"00:00:00.310","1.743","1.743","-1.719","-1.719"
"00:00:00.320","1.746","1.746","-1.716","-1.716"
"00:00:00.330","1.743","1.743","-1.717","-1.717"
"00:00:00.340","1.744","1.744","-1.717","-1.717"
"00:00:00.350","1.745","1.745","-1.717","-1.717"
"00:00:00.360","1.744","1.744","-1.721","-1.721"
"00:00:00.370","1.745","1.745","-1.717","-1.717"
"00:00:00.380","1.744","1.744","-1.718","-1.718"
"00:00:00.390","1.745","1.745","-1.720","-1.720"
"00:00:00.400","1.744","1.744","-1.715","-1.715"
"00:00:00.410","1.744","1.744","-1.717","-1.717"
"00:00:00.420","1.744","1.744","-1.719","-1.719"
"00:00:00.430","1.743","1.743","-1.716","-1.716"
"00:00:00.440","1.745","1.745","-1.719","-1.719"
"00:00:00.450","1.745","1.745","-1.717","-1.717"
"00:00:00.460","1.744","1.744","-1.719","-1.719"
"00:00:00.470","1.744","1.744","-1.723","-1.723"
"00:00:00.480","1.744","1.744","-1.718","-1.718"
"00:00:00.490","1.744","1.744","-1.721","-1.721"
"00:00:00.500","1.746","1.746","-1.718","-1.718"
"00:00:00.510","1.743","1.743","-1.717","-1.717"
"00:00:00.520","1.743","1.743","-1.717","-1.717"
"00:00:00.530","1.742","1.742","-1.718","-1.718"
"00:00:00.540","1.744","1.744","-1.720","-1.720"
"00:00:00.550","1.744","1.744","-1.724","-1.724"
"00:00:00.560","1.745","1.745","-1.716","-1.716"
"00:00:00.570","1.744","1.744","-1.717","-1.717"
"00:00:00.580","1.744","1.744","-1.718","-1.718"
"00:00:00.590","1.743","1.743","-1.719","-1.719"
"00:00:00.600","1.744","1.744","-1.718","-1.718"
"00:00:00.610","1.742","1.742","-1.716","-1.716"
"00:00:00.620","1.746","1.746","-1.723","-1.723"
"00:00:00.630","1.745","1.745","-1.716","-1.716"
"00:00:00.640","1.746","1.746","-1.718","-1.718"
"00:00:00.650","1.743","1.743","-1.717","-1.717"
"00:00:00.660","1.747","1.747","-1.717","-1.717"
"00:00:00.670","1.746","1.746","-1.719","-1.719"
"00:00:00.680","1.743","1.743","-1.717","-1.717"
"00:00:00.690","1.745","1.745","-1.719","-1.719"
"00:00:00.700","1.746","1.746","-1.716","-1.716"
"00:00:00.710","1.744","1.744","-1.717","-1.717"
"00:00:00.720","1.744","1.744","-1.718","-1.718"
"00:00:00.730","1.745","1.745","-1.717","-1.717"
"00:00:00.740","1.746","1.746","-1.714","-1.714"
"00:00:00.750","1.745","1.745","-1.717","-1.717"
"00:00:00.760","1.744","1.744","-1.721","-1.721"
"00:00:00.770","1.744","1.744","-1.717","-1.717"
"00:00:00.780","1.745","1.745","-1.717","-1.717"
"00:00:00.790","1.745","1.745","-1.721","-1.721"
"00:00:00.800","1.745","1.745","-1.714","-1.714"
"00:00:00.810","1.745","1.745","-1.717","-1.717"
"00:00:00.820","1.745","1.745","-1.716","-1.716"
"00:00:00.830","1.743","1.743","-1.716","-1.716"
"00:00:00.840","1.745","1.745","-1.719","-1.719"
"00:00:00.850","1.746","1.746","-1.719","-1.719"
"00:00:00.860","1.745","1.745","-1.717","-1.717"
"00:00:00.870","1.744","1.744","-1.713","-1.713"
"00:00:00.880","1.744","1.744","-1.720","-1.720"
"00:00:00.890","1.744","1.744","-1.719","-1.719"
"00:00:00.900","1.745","1.745","-1.719","-1.719"
"00:00:00.910","1.745","1.745","-1.722","-1.722"
"00:00:00.920","1.745","1.745","-1.716","-1.716"
"00:00:00.930","1.745","1.745","-1.720","-1.720"
"00:00:00.940","1.745","1.745","-1.720","-1.720"
"00:00:00.950","1.744","1.744","-1.721","-1.721"
"00:00:00.960","1.744","1.744","-1.718","-1.718"
"00:00:00.970","1.744","1.744","-1.718","-1.718"
"00:00:00.980","1.747","1.747","-1.714","-1.714"
"00:00:00.990","1.744","1.744","-1.715","-1.715"
"00:00:01.000","1.745","1.745","-1.716","-1.716"
"00:00:01.010","1.745","1.745","-1.721","-1.721"
"00:00:01.020","1.744","1.744","-1.712","-1.712"
"00:00:01.030","1.744","1.744","-1.716","-1.716"
"00:00:01.040","1.745","1.745","-1.712","-1.712"
"00:00:01.050","1.746","1.746","-1.713","-1.713"
"00:00:01.060","1.746","1.746","-1.719","-1.719"
"00:00:01.070","1.746","1.746","-1.715","-1.715"
"00:00:01.080","1.745","1.745","-1.718","-1.718"
"00:00:01.090","1.746","1.746","-1.720","-1.720"
"00:00:01.100","1.745","1.745","-1.718","-1.718"
"00:00:01.110","1.745","1.745","-1.718","-1.718"
"00:00:01.120","1.746","1.746","-1.719","-1.719"
"00:00:01.130","1.745","1.745","-1.722","-1.722"
"00:00:01.140","1.744","1.744","-1.713","-1.713"
"00:00:01.150","1.744","1.744","-1.720","-1.720"
"00:00:01.160","1.746","1.746","-1.718","-1.718"
"00:00:01.170","1.744","1.744","-1.717","-1.717"
"00:00:01.180","1.745","1.745","-1.721","-1.721"
"00:00:01.190","1.743","1.743","-1.717","-1.717"
"00:00:01.200","1.745","1.745","-1.718","-1.718"
"00:00:01.210","1.744","1.744","-1.719","-1.719"
