"","V_out Last (V)","V_out Ave. (V)","V_Ref Last (V)","V_Ref Ave. (V)"
"00:00:00.000","1.426","1.426","-1.952","-1.952"
"00:00:00.010","1.427","1.427","-1.957","-1.957"
"00:00:00.020","1.429","1.429","-1.947","-1.947"
"00:00:00.030","1.426","1.426","-1.955","-1.955"
"00:00:00.040","1.427","1.427","-1.956","-1.956"
"00:00:00.050","1.434","1.434","-1.959","-1.959"
"00:00:00.060","1.426","1.426","-1.950","-1.950"
"00:00:00.070","1.426","1.426","-1.957","-1.957"
"00:00:00.080","1.428","1.428","-1.951","-1.951"
"00:00:00.090","1.428","1.428","-1.955","-1.955"
"00:00:00.100","1.426","1.426","-1.955","-1.955"
"00:00:00.110","1.426","1.426","-1.959","-1.959"
"00:00:00.120","1.428","1.428","-1.952","-1.952"
"00:00:00.130","1.428","1.428","-1.955","-1.955"
"00:00:00.140","1.427","1.427","-1.954","-1.954"
"00:00:00.150","1.426","1.426","-1.953","-1.953"
"00:00:00.160","1.427","1.427","-1.955","-1.955"
"00:00:00.170","1.425","1.425","-1.957","-1.957"
"00:00:00.180","1.427","1.427","-1.951","-1.951"
"00:00:00.190","1.425","1.425","-1.954","-1.954"
"00:00:00.200","1.427","1.427","-1.954","-1.954"
"00:00:00.210","1.426","1.426","-1.953","-1.953"
"00:00:00.220","1.427","1.427","-1.958","-1.958"
"00:00:00.230","1.426","1.426","-1.959","-1.959"
"00:00:00.240","1.425","1.425","-1.948","-1.948"
"00:00:00.250","1.428","1.428","-1.954","-1.954"
"00:00:00.260","1.425","1.425","-1.965","-1.965"
"00:00:00.270","1.427","1.427","-1.953","-1.953"
"00:00:00.280","1.425","1.425","-1.953","-1.953"
"00:00:00.290","1.426","1.426","-1.957","-1.957"
"00:00:00.300","1.426","1.426","-1.955","-1.955"
"00:00:00.310","1.426","1.426","-1.953","-1.953"
"00:00:00.320","1.426","1.426","-1.955","-1.955"
"00:00:00.330","1.426","1.426","-1.955","-1.955"
"00:00:00.340","1.426","1.426","-1.956","-1.956"
"00:00:00.350","1.426","1.426","-1.955","-1.955"
"00:00:00.360","1.426","1.426","-1.956","-1.956"
"00:00:00.370","1.426","1.426","-1.951","-1.951"
"00:00:00.380","1.427","1.427","-1.960","-1.960"
"00:00:00.390","1.425","1.425","-1.961","-1.961"
"00:00:00.400","1.425","1.425","-1.956","-1.956"
"00:00:00.410","1.426","1.426","-1.956","-1.956"
"00:00:00.420","1.425","1.425","-1.957","-1.957"
"00:00:00.430","1.428","1.428","-1.953","-1.953"
"00:00:00.440","1.427","1.427","-1.950","-1.950"
"00:00:00.450","1.424","1.424","-1.956","-1.956"
"00:00:00.460","1.426","1.426","-1.954","-1.954"
"00:00:00.470","1.426","1.426","-1.955","-1.955"
"00:00:00.480","1.426","1.426","-1.958","-1.958"
"00:00:00.490","1.426","1.426","-1.952","-1.952"
"00:00:00.500","1.426","1.426","-1.952","-1.952"
"00:00:00.510","1.428","1.428","-1.953","-1.953"
"00:00:00.520","1.426","1.426","-1.954","-1.954"
"00:00:00.530","1.425","1.425","-1.951","-1.951"
"00:00:00.540","1.425","1.425","-1.958","-1.958"
"00:00:00.550","1.426","1.426","-1.953","-1.953"
"00:00:00.560","1.425","1.425","-1.955","-1.955"
"00:00:00.570","1.426","1.426","-1.955","-1.955"
"00:00:00.580","1.425","1.425","-1.956","-1.956"
"00:00:00.590","1.426","1.426","-1.956","-1.956"
"00:00:00.600","1.425","1.425","-1.951","-1.951"
"00:00:00.610","1.425","1.425","-1.957","-1.957"
"00:00:00.620","1.425","1.425","-1.953","-1.953"
"00:00:00.630","1.428","1.428","-1.955","-1.955"
"00:00:00.640","1.425","1.425","-1.956","-1.956"
"00:00:00.650","1.426","1.426","-1.955","-1.955"
"00:00:00.660","1.426","1.426","-1.955","-1.955"
"00:00:00.670","1.426","1.426","-1.956","-1.956"
"00:00:00.680","1.426","1.426","-1.958","-1.958"
"00:00:00.690","1.428","1.428","-1.955","-1.955"
"00:00:00.700","1.428","1.428","-1.950","-1.950"
"00:00:00.710","1.428","1.428","-1.951","-1.951"
"00:00:00.720","1.426","1.426","-1.957","-1.957"
"00:00:00.730","1.426","1.426","-1.953","-1.953"
"00:00:00.740","1.426","1.426","-1.953","-1.953"
"00:00:00.750","1.424","1.424","-1.953","-1.953"
"00:00:00.760","1.426","1.426","-1.953","-1.953"
"00:00:00.770","1.426","1.426","-1.953","-1.953"
"00:00:00.780","1.426","1.426","-1.955","-1.955"
"00:00:00.790","1.426","1.426","-1.952","-1.952"
"00:00:00.800","1.425","1.425","-1.959","-1.959"
"00:00:00.810","1.428","1.428","-1.948","-1.948"
"00:00:00.820","1.427","1.427","-1.952","-1.952"
"00:00:00.830","1.426","1.426","-1.956","-1.956"
"00:00:00.840","1.426","1.426","-1.954","-1.954"
"00:00:00.850","1.428","1.428","-1.954","-1.954"
"00:00:00.860","1.425","1.425","-1.959","-1.959"
"00:00:00.870","1.426","1.426","-1.955","-1.955"
"00:00:00.880","1.428","1.428","-1.955","-1.955"
"00:00:00.890","1.425","1.425","-1.954","-1.954"
"00:00:00.900","1.425","1.425","-1.955","-1.955"
"00:00:00.910","1.426","1.426","-1.955","-1.955"
"00:00:00.920","1.427","1.427","-1.957","-1.957"
"00:00:00.930","1.429","1.429","-1.956","-1.956"
"00:00:00.940","1.426","1.426","-1.954","-1.954"
"00:00:00.950","1.426","1.426","-1.953","-1.953"
